gen,mape,apt
[ 2  3 59 38],0.05237915800858154,0.9476208419914184
[ 2 54 29 52],0.052400655770511485,0.9475993442294884
[ 2 24  8 58],0.05396697648369067,0.9460330235163094
[ 2 28 28 46],0.05623386979395779,0.9437661302060422
[ 2 10 46 26],0.05653412219242085,0.9434658778075792
[ 2 11 54 59],0.05675309996505513,0.9432469000349448
[ 2 56 15 46],0.057106950248940275,0.9428930497510596
[ 2 15 58 63],0.05722524205024609,0.942774757949754
[ 2 31 29 60],0.05729395972055231,0.9427060402794476
[ 2 54 17 51],0.057318582284331274,0.9426814177156688
[ 2 56 29 49],0.057324614273963126,0.9426753857260368
[ 2 54 44 38],0.0573464937929223,0.9426535062070776
[ 2 56 29 56],0.0573829122147755,0.9426170877852244
[ 2 56 29 38],0.05738558045987635,0.9426144195401236
[ 2 56 20 55],0.0573934931432533,0.9426065068567469
[ 2 56 44 38],0.05742291765708519,0.9425770823429148
[ 2 56 21 61],0.057460717871641837,0.942539282128358
[ 2 56 21 61],0.057460717871641837,0.9425392821283579
[ 2 56 44 27],0.05746080567736905,0.9425391943226308
[ 2 56 54 51],0.05747964187139973,0.9425203581286002
[ 2 48 31 46],0.057484059962436586,0.9425159400375634
[ 2 56 54 28],0.05749236463385673,0.9425076353661432
[ 2 56 30 56],0.05757228043220927,0.9424277195677908
[ 2 56 29 51],0.05760303749291695,0.9423969625070829
[ 2 56 29 51],0.05760303749291695,0.9423969625070828
[ 2 62 54 28],0.057614697034698965,0.942385302965301
[ 2 15 58 62],0.057632602952809975,0.94236739704719
[ 2 62 29 43],0.05765683606978661,0.9423431639302132
[ 2 56 54 37],0.057667789409826566,0.9423322105901736
[ 2 56 54 52],0.05768283378864316,0.9423171662113567
[ 2 31 29 61],0.057688448884915575,0.9423115511150844
[ 5  3 35],0.05769602630327434,0.9423039736967256
[ 5  3 59],0.05770737393070027,0.9422926260692998
[ 2 62 54 52],0.05771181135691403,0.942288188643086
[ 2 62 54 52],0.05771181135691403,0.9422881886430859
[ 2 62 44 38],0.05772090356221728,0.9422790964377828
[ 5  3 46],0.057726390961536436,0.9422736090384636
[ 2 31 17 46],0.0577644690204032,0.9422355309795968
[ 2 47 16 54],0.05776451034044714,0.9422354896595528
