gen,mape,dim
[ 2  3 59 38],0.05237915800858154,4
[ 2 54 29 52],0.052400655770511485,4
[ 2 24  8 58],0.05396697648369067,4
[ 2 28 28 46],0.05623386979395779,4
[ 2 10 46 26],0.05653412219242085,4
[ 2 11 54 59],0.05675309996505513,4
[ 2 56 15 46],0.057106950248940275,4
[ 2 15 58 63],0.05722524205024609,4
[ 2 31 29 60],0.05729395972055231,4
[ 2 54 17 51],0.057318582284331274,4
[ 2 56 29 49],0.057324614273963126,4
[ 2 54 44 38],0.0573464937929223,4
[ 2 56 29 56],0.0573829122147755,4
[ 2 56 29 38],0.05738558045987635,4
[ 2 56 20 55],0.0573934931432533,4
[ 2 56 44 38],0.05742291765708519,4
[ 2 56 21 61],0.057460717871641837,4
[ 2 56 44 27],0.05746080567736905,4
[ 2 56 54 51],0.05747964187139973,4
[ 2 48 31 46],0.057484059962436586,4
[ 2 56 54 28],0.05749236463385673,4
[ 2 56 30 56],0.05757228043220927,4
[ 2 56 29 51],0.05760303749291695,4
[ 2 62 54 28],0.057614697034698965,4
[ 2 15 58 62],0.057632602952809975,4
[ 2 62 29 43],0.05765683606978661,4
[ 2 56 54 37],0.057667789409826566,4
[ 2 56 54 52],0.05768283378864316,4
[ 2 31 29 61],0.057688448884915575,4
[ 5  3 35],0.05769602630327434,3
[ 5  3 59],0.05770737393070027,3
[ 2 62 54 52],0.05771181135691403,4
[ 2 62 44 38],0.05772090356221728,4
[ 5  3 46],0.057726390961536436,3
[ 2 31 17 46],0.0577644690204032,4
[ 2 47 16 54],0.05776451034044714,4
[ 2 56 37 55],0.05777646030103401,4
[ 2 58 29 37],0.057783958612224025,4
[ 2 56 30 38],0.057785917812806786,4
[ 2 62 14 52],0.057809658077231964,4
[ 2 62 47 43],0.057812357671375124,4
[ 2 63 38 43],0.05782176152023099,4
[ 2 61 54 50],0.05782743570005505,4
[ 2 54 44 52],0.057833269711179136,4
[ 2 31 48 50],0.05784346449027064,4
[ 2 56 17 38],0.0578542000627853,4
[ 2 31 29 41],0.057862103327876474,4
[ 2 48 31 52],0.057873403684853365,4
[ 2 62 55 52],0.057986605482503124,4
[ 2 63 62 16],0.05798765343066677,4
[ 2 56 31 55],0.05800957212300323,4
[ 2 31 56 55],0.05808901916655985,4
[ 2 56 20 63],0.05810017209612674,4
[ 2 58 54 18],0.058123217272220765,4
[ 5  3 12],0.058605803963817274,3
[ 2  3 43 46],0.05903405327858208,4
[ 2 56 29 46],0.06011810990593192,4
[ 2 58 54 46],0.06045134968506146,4
[ 2 58 54 59],0.060602121297399926,4
[ 2 56 35 50],0.06146707140428605,4
[ 2 15 58 52],0.062295057262868776,4
[ 2 56 47 51],0.06245762904830698,4
[ 2 54 59 52],0.06268186895576967,4
[ 2  3 39 38],0.06334066581119349,4
[ 2 11 16 18],0.0644241590850974,4
[ 2 15 54 50],0.06467076094511252,4
[5 3 7],0.06474680576376507,3
[ 2 56 31 34],0.06485539734872024,4
[ 2  3 21 55],0.06495144012596735,4
[ 2  6  4 34],0.0649575915715591,4
[ 2 54 13 41],0.06496999763602694,4
[ 2 49 29 38],0.06497103162331506,4
[ 2 56 60 46],0.06499948681762502,4
[ 2 56 54 58],0.06524488342140042,4
[ 2 49 57 63],0.06525196115518317,4
[ 2 30 57 56],0.0652520269352018,4
[ 2 49 41 49],0.06526111750093312,4
[ 2 31 44 63],0.0652634895992223,4
[ 2 43 62 21],0.06548781388270013,4
[ 2 63 10 21],0.06605839961288608,4
[ 2  5 52 19],0.06637236752490162,4
[ 2 30 29 56],0.066726619790897,4
